"id","source","title","businessDate","owner","location","target","keywords","acl","status","qualityFlags"
"SP01","SharePoint","SummerPush 캠페인 킥오프 기획서","2026-04-15","최민석","sharepoint/Campaigns/01_SummerPush_Campaign_Kickoff_Plan.docx","/Track2-Sample/Campaigns/01_SummerPush_Campaign_Kickoff_Plan.docx","SummerPush;Social;CA00001;전환율","Workshop-Participants","Final",""
"SP02","SharePoint","SummerPush 중간 성과 리포트","2026-05-20","한유진","sharepoint/Campaigns/02_SummerPush_Mid_Campaign_Performance_Report.docx","/Track2-Sample/Campaigns/02_SummerPush_Mid_Campaign_Performance_Report.docx","SummerPush;결제 실패;RetrySuccess;전환율","Workshop-Participants","Final",""
"SP03","SharePoint","BackToSchool 캠페인 사전 준비 체크리스트","2026-07-10","최민석","sharepoint/Campaigns/03_BackToSchool_Prelaunch_Checklist.docx","/Track2-Sample/Campaigns/03_BackToSchool_Prelaunch_Checklist.docx","BackToSchool;OnlineMall;CA00002;AeroPhone X","Workshop-Participants","Final",""
"SP04","SharePoint","VIPRetention Platinum 고객 이탈 방지 플레이북","2026-05-12","송하늘","sharepoint/Campaigns/04_VIPRetention_Platinum_Churn_Prevention_Playbook.docx","/Track2-Sample/Campaigns/04_VIPRetention_Platinum_Churn_Prevention_Playbook.docx","VIPRetention;Platinum;MobileApp;CA00003","Workshop-Participants","Final",""
"SP05","SharePoint","FlashWeek 프로모션 정산 검토","2026-05-18","서지민","sharepoint/Campaigns/05_FlashWeek_Promotion_Settlement_Review.docx","/Track2-Sample/Campaigns/05_FlashWeek_Promotion_Settlement_Review.docx","FlashWeek;Percent;마진;CA00004","Workshop-Participants","Final",""
"SP06","SharePoint","배송 지연 원인 분석 및 고객 영향","2026-05-23","윤가영","sharepoint/Operations/06_Delivery_Delay_Root_Cause_and_Customer_Impact.docx","/Track2-Sample/Operations/06_Delivery_Delay_Root_Cause_and_Customer_Impact.docx","배송 지연;VIPRetention;Platinum;반품률","Workshop-Participants","Draft","draft"
"SP07","SharePoint","UltraBook 15 재고 부족 대응 플레이북","2026-05-16","오지훈","sharepoint/Operations/07_UltraBook15_Stockout_Response_Playbook.docx","/Track2-Sample/Operations/07_UltraBook15_Stockout_Response_Playbook.docx","UltraBook 15;S09003;O09003;SH09003","Workshop-Participants","Final",""
"SP08","SharePoint","프로모션 유형별 마진 분석","2026-05-19","서지민","sharepoint/Analytics/08_Promotion_Type_Margin_Analysis.docx","/Track2-Sample/Analytics/08_Promotion_Type_Margin_Analysis.docx","Percent;Amount;Bundle;BOGO;FlashWeek","Workshop-Participants","Final",""
"SP09","SharePoint","채널 및 고객등급별 반품 분석","2026-05-26","한유진","sharepoint/Analytics/09_Return_Analysis_by_Channel_and_Customer_Tier.docx","/Track2-Sample/Analytics/09_Return_Analysis_by_Channel_and_Customer_Tier.docx","Platinum;MobileApp;OfflineStore;NotAsDescribed","Workshop-Participants","Final",""
"SP10","SharePoint","결제 실패 및 재시도 사후 분석","2026-05-21","정도윤","sharepoint/Operations/10_Payment_Failure_and_Retry_Postmortem.docx","/Track2-Sample/Operations/10_Payment_Failure_and_Retry_Postmortem.docx","결제 실패;RetrySuccess;PAY00019;AeroPhone X","Workshop-Participants","Final",""
"SP11","SharePoint","Track1 데이터 품질 개선 등록부","2026-05-27","임채원","sharepoint/DataQuality/11_Track1_Data_Quality_Improvement_Register.docx","/Track2-Sample/DataQuality/11_Track1_Data_Quality_Improvement_Register.docx","PAY90001;T90001;SH00001;O00007;O00600","Workshop-Data-Stewards","Restricted","restricted"
"SP12","SharePoint","Q3 리더십 운영 리스크 브리핑","2026-07-11","이현지","sharepoint/Leadership/12_Q3_Leadership_Operational_Risk_Briefing.docx","/Track2-Sample/Leadership/12_Q3_Leadership_Operational_Risk_Briefing.docx","BackToSchool;AeroPhone X;SmartWatch Pro;UltraBook 15","Workshop-Leaders","Final",""
"SP13","SharePoint","채널 및 고객등급별 반품 심층 분석","2026-06-02","한유진","sharepoint/Analytics/13_Deep_Dive_Return_Analysis_by_Channel_and_Tier.docx","/Track2-Sample/Analytics/13_Deep_Dive_Return_Analysis_by_Channel_and_Tier.docx","ChangedMind;Damaged;SizeIssue;Gold;Silver;Bronze","Workshop-Participants","Final",""
"SP14","SharePoint","비전자 카테고리 수요 및 재고 리뷰","2026-06-04","오지훈","sharepoint/Operations/14_Non_Electronics_Demand_and_Inventory_Review.docx","/Track2-Sample/Operations/14_Non_Electronics_Demand_and_Inventory_Review.docx","ComfyChair Home;DailyTee Cotton;BackToSchool;SummerPush","Workshop-Participants","Final",""
"SP15","SharePoint","DailyTee Cotton 상세 설명 개선 리포트","2026-06-06","최민석","sharepoint/Campaigns/15_DailyTeeCotton_Product_Description_Improvement_Report.docx","/Track2-Sample/Campaigns/15_DailyTeeCotton_Product_Description_Improvement_Report.docx","DailyTee Cotton;NotAsDescribed;SizeIssue;Silver","Workshop-Participants","Final",""
"OD01","OneDrive","Platinum 고객 DailyTee Cotton 반품 미팅 노트","2026-05-22","송하늘","onedrive/MeetingNotes/01_Platinum_Customer_DailyTeeCotton_Return_Meeting_Notes.docx","/Track2-Sample/MeetingNotes/01_Platinum_Customer_DailyTeeCotton_Return_Meeting_Notes.docx","Platinum;DailyTee Cotton;NotAsDescribed;VIPRetention","Workshop-Participants","Final",""
"OD02","OneDrive","결제 장애 워룸 회의록","2026-05-19","정도윤","onedrive/MeetingNotes/02_Payment_Incident_War_Room_Notes.docx","/Track2-Sample/MeetingNotes/02_Payment_Incident_War_Room_Notes.docx","AeroPhone X;RetrySuccess;SummerPush;PAY00019","Workshop-Participants","Final",""
"OD03","OneDrive","재고·물류·CS 합동 회의록","2026-05-17","오지훈","onedrive/MeetingNotes/03_Inventory_Logistics_CS_Joint_Meeting_Notes.docx","/Track2-Sample/MeetingNotes/03_Inventory_Logistics_CS_Joint_Meeting_Notes.docx","AeroPhone X;SmartWatch Pro;UltraBook 15;배송 지연","Workshop-Participants","Final",""
"OD04","OneDrive","캠페인 주간 성과 리뷰 노트","2026-05-21","한유진","onedrive/MeetingNotes/04_Weekly_Campaign_Performance_Review_Notes.docx","/Track2-Sample/MeetingNotes/04_Weekly_Campaign_Performance_Review_Notes.docx","SummerPush;FlashWeek;BackToSchool;전환율","Workshop-Participants","Draft","draft"
"OD05","OneDrive","반품 VOC 분류 워크숍 노트","2026-05-25","배수민","onedrive/MeetingNotes/05_Return_VOC_Classification_Workshop_Notes.docx","/Track2-Sample/MeetingNotes/05_Return_VOC_Classification_Workshop_Notes.docx","NotAsDescribed;LateDelivery;MobileApp;OfflineStore","Workshop-Participants","Final",""
"OD06","OneDrive","Track1 데이터 품질 개선 회의록","2026-05-27","임채원","onedrive/MeetingNotes/06_Data_Quality_Improvement_Meeting_Notes.docx","/Track2-Sample/MeetingNotes/06_Data_Quality_Improvement_Meeting_Notes.docx","PAY90001;T90001;SH00001;RetrySuccess","Workshop-Data-Stewards","Restricted","restricted"
"OD07","OneDrive","리더십 조식 브리핑 템플릿","2026-05-01","이현지","onedrive/Briefings/07_Leadership_Breakfast_Briefing_Template.docx","/Track2-Sample/Briefings/07_Leadership_Breakfast_Briefing_Template.docx","정형 지표;M365 근거;원본 링크;조치안","Workshop-Participants","Template",""
"OD08","OneDrive","BackToSchool Go/No-Go 회의록","2026-07-11","최민석","onedrive/MeetingNotes/08_BackToSchool_Go_No_Go_Meeting_Notes.docx","/Track2-Sample/MeetingNotes/08_BackToSchool_Go_No_Go_Meeting_Notes.docx","BackToSchool;OnlineMall;AeroPhone X;Go/No-Go","Workshop-Leaders","Final",""
"OD09","OneDrive","FlashWeek 마진 의사결정 노트","2026-05-19","서지민","onedrive/MeetingNotes/09_FlashWeek_Margin_Decision_Notes.docx","/Track2-Sample/MeetingNotes/09_FlashWeek_Margin_Decision_Notes.docx","FlashWeek;Percent;Bundle;마진","Workshop-Participants","Final",""
